scenario,scenario_label,owner_id,firm,ev_sales_thousands,ev_sales_change_thousands_vs_b0,baseline_ev_sales_thousands
C1,C1: vehicle-only tariff,bmw,BMW,7.235605181492207,-13.0661532642639,20.301758445756107
C2,C2: vehicle + parts tariff,bmw,BMW,9.299531586001786,-11.002226859754321,20.301758445756107
C3,C3: EV subsidy,bmw,BMW,41.62883053269812,21.32707208694201,20.301758445756107
C4,C4: vehicle-only tariff + subsidy,bmw,BMW,15.642561605636047,-4.65919684012006,20.301758445756107
C5,C5: vehicle + parts tariff + subsidy,bmw,BMW,19.49511978121624,-0.806638664539868,20.301758445756107
B0,"B0: no tariff, no subsidy",volkswagen,Volkswagen,14.053909710244307,0.0,14.053909710244307
C1,C1: vehicle-only tariff,volkswagen,Volkswagen,8.508098175349536,-5.545811534894771,14.053909710244307
C2,C2: vehicle + parts tariff,volkswagen,Volkswagen,8.957756658966519,-5.096153051277788,14.053909710244307
C3,C3: EV subsidy,volkswagen,Volkswagen,30.625854598429775,16.57194488818547,14.053909710244307
C4,C4: vehicle-only tariff + subsidy,volkswagen,Volkswagen,18.280016199904235,4.226106489659928,14.053909710244307
C5,C5: vehicle + parts tariff + subsidy,volkswagen,Volkswagen,19.307587089757646,5.25367737951334,14.053909710244307
B0,"B0: no tariff, no subsidy",ford,Ford,13.735386446903782,0.0,13.735386446903782
C1,C1: vehicle-only tariff,ford,Ford,10.013418728773399,-3.721967718130383,13.735386446903782
C2,C2: vehicle + parts tariff,ford,Ford,10.305419267029219,-3.429967179874563,13.735386446903782
C3,C3: EV subsidy,ford,Ford,35.45863883517356,21.723252388269778,13.735386446903782
C4,C4: vehicle-only tariff + subsidy,ford,Ford,24.623084797577153,10.887698350673372,13.735386446903782
C5,C5: vehicle + parts tariff + subsidy,ford,Ford,25.186806957787837,11.451420510884056,13.735386446903782
B0,"B0: no tariff, no subsidy",honda,Honda,12.868863898217667,0.0,12.868863898217667
C1,C1: vehicle-only tariff,honda,Honda,8.421948689188524,-4.446915209029143,12.868863898217667
C2,C2: vehicle + parts tariff,honda,Honda,8.784059485702139,-4.084804412515528,12.868863898217667
C3,C3: EV subsidy,honda,Honda,32.798135596764745,19.929271698547076,12.868863898217667
C4,C4: vehicle-only tariff + subsidy,honda,Honda,19.75724913471848,6.888385236500815,12.868863898217667
C5,C5: vehicle + parts tariff + subsidy,honda,Honda,20.754276417525286,7.88541251930762,12.868863898217667
B0,"B0: no tariff, no subsidy",rivian,Rivian,9.99696301366533,0.0,9.99696301366533
C1,C1: vehicle-only tariff,rivian,Rivian,11.820038875809521,1.8230758621441918,9.99696301366533
C2,C2: vehicle + parts tariff,rivian,Rivian,8.736648626311752,-1.2603143873535778,9.99696301366533
C3,C3: EV subsidy,rivian,Rivian,18.553994301450356,8.557031287785026,9.99696301366533
C4,C4: vehicle-only tariff + subsidy,rivian,Rivian,21.703269338225855,11.706306324560526,9.99696301366533
C5,C5: vehicle + parts tariff + subsidy,rivian,Rivian,15.876988480300179,5.88002546663485,9.99696301366533
B0,"B0: no tariff, no subsidy",mercedesbenzgroup,Mercedes-Benz,9.173052800325706,0.0,9.173052800325706
C1,C1: vehicle-only tariff,mercedesbenzgroup,Mercedes-Benz,2.773381418270468,-6.399671382055239,9.173052800325706
C2,C2: vehicle + parts tariff,mercedesbenzgroup,Mercedes-Benz,3.280018458131654,-5.893034342194053,9.173052800325706
C3,C3: EV subsidy,mercedesbenzgroup,Mercedes-Benz,19.716447935543826,10.54339513521812,9.173052800325706
C4,C4: vehicle-only tariff + subsidy,mercedesbenzgroup,Mercedes-Benz,6.0333138593631155,-3.139738940962591,9.173052800325706
C5,C5: vehicle + parts tariff + subsidy,mercedesbenzgroup,Mercedes-Benz,7.1779390426001015,-1.9951137577256048,9.173052800325706
B0,"B0: no tariff, no subsidy",toyota,Toyota,7.65474278593638,0.0,7.65474278593638
C1,C1: vehicle-only tariff,toyota,Toyota,6.188043531559707,-1.4666992543766728,7.65474278593638
C2,C2: vehicle + parts tariff,toyota,Toyota,6.889395766145727,-0.7653470197906529,7.65474278593638
C3,C3: EV subsidy,toyota,Toyota,22.624749033582372,14.970006247645992,7.65474278593638
C4,C4: vehicle-only tariff + subsidy,toyota,Toyota,17.644117061926273,9.989374275989894,7.65474278593638
C5,C5: vehicle + parts tariff + subsidy,toyota,Toyota,19.671098276077235,12.016355490140855,7.65474278593638
